FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL
Chris Amarante,,185 lbs.,,,,http://ufcstats.com/fighter-details/ee0b69e307c857e5
Jimmy Ambriz,"6' 2""",315 lbs.,,Southpaw,"Jan 26, 1970",http://ufcstats.com/fighter-details/c912f676692c353a
JJ Ambrose,"5' 10""",170 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/d562b12b8fe88336
Hamid Amiri,,145 lbs.,,,"Jun 15, 2003",http://ufcstats.com/fighter-details/6c40705cf6c0d7e2
Bertrand Amoussou,"5' 8""",190 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/53adf5b845d91e4a
Karl Amoussou,"5' 11""",185 lbs.,,Orthodox,"Nov 21, 1985",http://ufcstats.com/fighter-details/23a8c33869bf5392
Matt Andersen,"6' 2""",230 lbs.,,Southpaw,"May 29, 1971",http://ufcstats.com/fighter-details/8738eacd62e82a32
Andy Anderson,"5' 6""",240 lbs.,,,"Jul 16, 1974",http://ufcstats.com/fighter-details/9199e0735b83dd32
Lowell Anderson,"5' 6""",160 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/1ffc38f67785797b
Derek Anderson,"6' 0""",155 lbs.,,,"Feb 02, 1990",http://ufcstats.com/fighter-details/19ba965651486013
Alex Andrade,"5' 11""",200 lbs.,,Orthodox,"May 14, 1974",http://ufcstats.com/fighter-details/1562b12763cc8d67
Jermaine Andre,"5' 7""",200 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/9bad58fa651d6196
Fellipe Andrew,,,,,"Oct 24, 1994",http://ufcstats.com/fighter-details/7977fb0fd9c5955d
Reese Andy,"6' 0""",205 lbs.,,Orthodox,"Mar 31, 1973",http://ufcstats.com/fighter-details/46e2ca71fd5089cb
Julius Anglickas,"6' 3""",205 lbs.,,Orthodox,"Jul 23, 1991",http://ufcstats.com/fighter-details/e20ad078a7d63361
Yoji Anjo,"5' 11""",205 lbs.,,Orthodox,"Mar 28, 1967",http://ufcstats.com/fighter-details/e06fd1260ac865a7
Angelo Antonio,,205 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/dbd198f780286aca
Azunna Anyanwu,"6' 1""",251 lbs.,,Orthodox,"Aug 05, 1981",http://ufcstats.com/fighter-details/78d48d3874dacafd
Shinya Aoki,"5' 11""",154 lbs.,,Southpaw,"May 09, 1983",http://ufcstats.com/fighter-details/79ded75550efc139
Josh Appelt,"5' 10""",255 lbs.,,Southpaw,"Jun 19, 1983",http://ufcstats.com/fighter-details/0c1a04afca64e38f
Erik Apple,"6' 0""",170 lbs.,,Orthodox,"Aug 26, 1977",http://ufcstats.com/fighter-details/1ccff7f0cfdf85eb
Kenji Arai,"5' 10""",145 lbs.,,Southpaw,"Oct 05, 1979",http://ufcstats.com/fighter-details/269d103c96a4c3a5
Romie Aram,"5' 10""",170 lbs.,,Orthodox,"Dec 02, 1977",http://ufcstats.com/fighter-details/73ef22f25d0f70e2
Art Arciniega,"5' 8""",145 lbs.,,,"Oct 15, 1981",http://ufcstats.com/fighter-details/d25e39e74efb0a77
Tristan Arenal,,155 lbs.,,,,http://ufcstats.com/fighter-details/9c9455912d917e4e
Gabriel Arges,,170 lbs.,,,"Jan 29, 1993",http://ufcstats.com/fighter-details/db3c4a884d704efe
Reza Arianto,,155 lbs.,,,,http://ufcstats.com/fighter-details/90063913321e7670
Joey Armstrong,,,,,,http://ufcstats.com/fighter-details/30ad2050273d016a
Chalid Arrab,"5' 11""",205 lbs.,,Orthodox,"May 28, 1975",http://ufcstats.com/fighter-details/770b9d4813c25902
Gilles Arsene,"5' 9""",190 lbs.,,Southpaw,,http://ufcstats.com/fighter-details/2dea80c069847321
Veta Arteaga,"5' 7""",125 lbs.,,,,http://ufcstats.com/fighter-details/91e3388e69060e69
Cesar Arzamendia,"5' 11""",155 lbs.,,Orthodox,"Jan 31, 1991",http://ufcstats.com/fighter-details/49f78022126bf4a4
Arman Ashimov,"5' 6""",125 lbs.,,,"Jan 14, 1992",http://ufcstats.com/fighter-details/d26a0988c9dc9886
Asjabharan,"5' 6""",135 lbs.,,,"Jul 31, 1992",http://ufcstats.com/fighter-details/8be9deb7d6b36354
Bruno Assis,"6' 2""",185 lbs.,,Orthodox,"May 23, 1992",http://ufcstats.com/fighter-details/ff222167cce02919
Bazigit Atajev,"6' 1""",230 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/fd7acf42bd6e7e95
Pat Audinwood,"6' 0""",155 lbs.,,Orthodox,"Apr 16, 1986",http://ufcstats.com/fighter-details/196ed28337adc630
Jose Augusto,"6' 3""",251 lbs.,,,"Mar 28, 1992",http://ufcstats.com/fighter-details/4d3b08ab127c7585
David Avellan,"5' 9""",185 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/956dcac65e7b34d6
Levi Avera,"6' 1""",170 lbs.,,,"May 17, 1982",http://ufcstats.com/fighter-details/ba5c6eeb8ef45f5c
Anthony Avila,"5' 7""",145 lbs.,,,"Dec 29, 1988",http://ufcstats.com/fighter-details/033d19259f589457
Chris Avila,"5' 10""",145 lbs.,,Orthodox,"Jan 16, 1993",http://ufcstats.com/fighter-details/4665cbf36b08193b
Saad Awad,"5' 11""",155 lbs.,,,"Jun 07, 1983",http://ufcstats.com/fighter-details/da603332ad41f165
Javy Ayala,"6' 1""",265 lbs.,,,"Aug 20, 1988",http://ufcstats.com/fighter-details/26387c19f32dda0f
Luiz Azeredo,"5' 9""",154 lbs.,,Orthodox,"Jun 10, 1976",http://ufcstats.com/fighter-details/063649e21bc9d6d5
Luciano Azevedo,"6' 3""",161 lbs.,,Orthodox,"Jun 25, 1981",http://ufcstats.com/fighter-details/9bcfb40dbcd50568
Niklas Backstrom,"6' 1""",145 lbs.,,Orthodox,"Aug 22, 1989",http://ufcstats.com/fighter-details/39cc64bf0a269db9
Abdul Azeem Badakhshi,,145 lbs.,,,,http://ufcstats.com/fighter-details/968764372c49eab6
Izabela Badurek,"5' 5""",115 lbs.,,Orthodox,"Jul 11, 1991",http://ufcstats.com/fighter-details/4fcf6e0c4e0e6664
Mehdi Baghdad,"6' 1""",155 lbs.,,Orthodox,"Apr 13, 1985",http://ufcstats.com/fighter-details/e4d2564ea0e34e2b
Jordan Bailey,"5' 9""",145 lbs.,,,,http://ufcstats.com/fighter-details/34dbcd4dbaf21a36
Scott Baker,"6' 0""",210 lbs.,,,,http://ufcstats.com/fighter-details/7d5b12de1625984e
Bryan Baker,"6' 3""",185 lbs.,,Orthodox,"Oct 13, 1985",http://ufcstats.com/fighter-details/898337ef520fe4d3
Jin Bala,"5' 9""",155 lbs.,,,,http://ufcstats.com/fighter-details/371efa53bd0cf669
Stephen Banaszak,"6' 0""",145 lbs.,,,"Dec 07, 1990",http://ufcstats.com/fighter-details/4c4b44e3cf5815b3
Marcin Bandel,"5' 10""",155 lbs.,,Orthodox,"Oct 10, 1989",http://ufcstats.com/fighter-details/5c2ce761399dc9c5
Yohan Banks,,,,,,http://ufcstats.com/fighter-details/c50ea21fe9ef478d
Junior Barata,"5' 10""",170 lbs.,,Orthodox,"Jan 25, 1982",http://ufcstats.com/fighter-details/06dced58ca24a6bd
Nick Barnes,"5' 11""",170 lbs.,,,,http://ufcstats.com/fighter-details/78a5eea49638685d
Chris Barnhizer,,,,,,http://ufcstats.com/fighter-details/91e69a1c3c87325b
David Baron,"5' 6""",155 lbs.,,Switch,"Feb 15, 1973",http://ufcstats.com/fighter-details/80c0bed43da0e27b
Dan Barrera,"5' 9""",170 lbs.,,Orthodox,"Dec 23, 1980",http://ufcstats.com/fighter-details/f12f979b657ab876
Carlos Barreto,"6' 4""",230 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/a220be6d41d6f97d
Jose Barreto,,185 lbs.,,Southpaw,,http://ufcstats.com/fighter-details/c32eab6c2119e989
David Barrios,"5' 6""",145 lbs.,,,,http://ufcstats.com/fighter-details/e6015889f50075d2
Alexandre Barros,"5' 9""",170 lbs.,,Southpaw,"Nov 19, 1976",http://ufcstats.com/fighter-details/8fd1f27e86661ede
Ricardo Barros,"6' 1""",205 lbs.,,,"Mar 22, 1976",http://ufcstats.com/fighter-details/d26394fc0e8e880a
Stephen Bass,"5' 9""",145 lbs.,,Orthodox,"Nov 14, 1982",http://ufcstats.com/fighter-details/1cecc8fe6748a532
Sean Bassett,,155 lbs.,,,,http://ufcstats.com/fighter-details/2c733e059462c1dc
Ryan Bastianelli,"5' 5""",135 lbs.,,,,http://ufcstats.com/fighter-details/29508aff4d93cbbe
Shayna Baszler,"5' 7""",135 lbs.,,Orthodox,"Aug 08, 1980",http://ufcstats.com/fighter-details/8ef4a91ac694b7ce
Michel Batista,"6' 3""",260 lbs.,,Orthodox,"Apr 20, 1984",http://ufcstats.com/fighter-details/34218661c44ed55d
Rudy Bears,"5' 11""",170 lbs.,,Southpaw,,http://ufcstats.com/fighter-details/74f13066b1417ef3
Salvador Becerra,"5' 9""",155 lbs.,,,,http://ufcstats.com/fighter-details/4fd76e7ba8313457
Jeff Bedard,"5' 6""",145 lbs.,,Orthodox,"Feb 06, 1970",http://ufcstats.com/fighter-details/93bf96be327fcd98
Eric Bedard,"6' 2""",239 lbs.,,,"Sep 11, 1984",http://ufcstats.com/fighter-details/ce05955c26c3c090
Lyle Beerbohm,"5' 10""",155 lbs.,,Southpaw,"Feb 05, 1979",http://ufcstats.com/fighter-details/babc6b5745335f18
Mike Bencic,"6' 0""",215 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/a71feb7ea7592a71
Dave Beneteau,"6' 2""",250 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/9fd1f08dd4aec14a
Karla Benitez,"5' 3""",113 lbs.,,,,http://ufcstats.com/fighter-details/6104730621ff318d
Charles Bennett,"5' 8""",155 lbs.,,Orthodox,"Nov 23, 1979",http://ufcstats.com/fighter-details/8dc4f34c1f50d00d
Josh Bennett,"6' 4""",259 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/c3ac8d0da7b05772
Joe Benoit,"5' 9""",170 lbs.,,Orthodox,"Mar 12, 1982",http://ufcstats.com/fighter-details/a30f6d375dea5f9b
Pat Benson,"5' 9""",155 lbs.,,,,http://ufcstats.com/fighter-details/a25f3dc0df974597
Len Bentley,"5' 9""",155 lbs.,,,"Nov 30, 1982",http://ufcstats.com/fighter-details/592d23aed850e652
Steve Berger,"5' 11""",170 lbs.,,Orthodox,"May 20, 1973",http://ufcstats.com/fighter-details/21b1132949f2a9b0
Bret Bergmark,"5' 9""",170 lbs.,,,"Nov 24, 1973",http://ufcstats.com/fighter-details/2891c9f7b26b26fc
Keith Berish,"6' 0""",205 lbs.,,Orthodox,"Nov 14, 1985",http://ufcstats.com/fighter-details/e3779ef06e98f185
Dave Berry,,,,,,http://ufcstats.com/fighter-details/b3bbe88fecd6a0d2
Keith Berry,"6' 1""",185 lbs.,,,"Oct 25, 1987",http://ufcstats.com/fighter-details/0b935b9bbbe5fc07
Dieusel Berto,"5' 9""",200 lbs.,,,,http://ufcstats.com/fighter-details/0db70ca89e1c7374
Edson Berto,"5' 6""",155 lbs.,,Orthodox,"Jul 05, 1983",http://ufcstats.com/fighter-details/66766984842c13dc
Allen Berube,"5' 8""",155 lbs.,,Orthodox,"Aug 25, 1974",http://ufcstats.com/fighter-details/aebfb84d1f6d2d8c
Anton Berzin,"6' 2""",205 lbs.,,Orthodox,"Sep 29, 1989",http://ufcstats.com/fighter-details/8ba8e8d7eafa7267
Scott Bessac,"6' 4""",245 lbs.,,,,http://ufcstats.com/fighter-details/3f24c96753dbd9f9
Khadzhi Bestaev,"6' 6""",185 lbs.,"76""",,"Jul 16, 1988",http://ufcstats.com/fighter-details/e05f4ce199baca91
Fernando Bettega,,170 lbs.,,,"Mar 10, 1980",http://ufcstats.com/fighter-details/a524710c3ef918fa
Jeremiah Billington,"5' 9""",205 lbs.,,Orthodox,"Nov 14, 1977",http://ufcstats.com/fighter-details/b3b6e80b7d5f8f0d
Scott Bills,"5' 10""",170 lbs.,,,,http://ufcstats.com/fighter-details/53f02bbc41d99432
Chris Birchler,"6' 3""",205 lbs.,,Switch,"Jun 05, 1987",http://ufcstats.com/fighter-details/8a22c6b4d29880a3
Amaury Bitetti,"5' 9""",185 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/7a359ef685a304a7
Simon Biyong,,205 lbs.,,,"Apr 05, 1991",http://ufcstats.com/fighter-details/27ab7257bf6a3b65
Jason Black,"5' 8""",155 lbs.,,Orthodox,"Jul 15, 1972",http://ufcstats.com/fighter-details/b2f743746e8dcfa2
Jason Blackford,,,,,,http://ufcstats.com/fighter-details/619d807fa54ae8f7
Tom Blackledge,,205 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/2adb11835acd815b
David Blanco,"5' 7""",145 lbs.,,,,http://ufcstats.com/fighter-details/ebf298f8ac7e232b
Arlene Blencowe,"5' 5""",145 lbs.,,,"Apr 11, 1983",http://ufcstats.com/fighter-details/35d6337320a4ae48
Byron Bloodworth,"5' 8""",135 lbs.,,Orthodox,"Aug 16, 1983",http://ufcstats.com/fighter-details/ecdf14f4f8643d39
Dashawn Boatwright,"6' 0""",205 lbs.,,Orthodox,"Feb 29, 1988",http://ufcstats.com/fighter-details/046a85108610c0d2
Dan Bobish,"6' 2""",345 lbs.,,Southpaw,"Jan 26, 1970",http://ufcstats.com/fighter-details/f348d05403fad037
Jeremy Boczulak,,,,,,http://ufcstats.com/fighter-details/1afd74f8cb0719f3
Jay Bogan,,145 lbs.,,,,http://ufcstats.com/fighter-details/53c21779d84ceb75
Derek Bohi,"6' 4""",260 lbs.,,,,http://ufcstats.com/fighter-details/70a1c7626b5e0599
Jerry Bohlander,"5' 11""",199 lbs.,,Orthodox,"Feb 12, 1974",http://ufcstats.com/fighter-details/93892752c5fc23ca
Kotetsu Boku,"5' 9""",154 lbs.,,Orthodox,"May 27, 1977",http://ufcstats.com/fighter-details/d227958e8a0c1466
Kyle Bolt,"6' 2""",185 lbs.,,,,http://ufcstats.com/fighter-details/9d455d5cfe6a0e35
Luc Bondole,"6' 2""",205 lbs.,,,,http://ufcstats.com/fighter-details/8691881b31c16b88
Tony Bonello,"6' 2""",185 lbs.,,,,http://ufcstats.com/fighter-details/702a72aa7a266d86
Jesse Bongfeldt,"6' 0""",185 lbs.,,Orthodox,"Aug 28, 1980",http://ufcstats.com/fighter-details/934de214814b8ff4
Marcos Bonilla,"5' 10""",145 lbs.,,,,http://ufcstats.com/fighter-details/d311fbefff44a39b
Igor Borisov,"6' 0""",235 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/0313bf497de9c470
Marcus Bossett,"6' 1""",215 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/e8fb8e53bc2e29d6
Chris Bostick,,,,,,http://ufcstats.com/fighter-details/239224bedeb2c7a4
Francois Botha,"6' 2""",260 lbs.,,Orthodox,"Sep 28, 1968",http://ufcstats.com/fighter-details/545d549d6bf87187
Gregory Bouchelaghem,"6' 2""",183 lbs.,,Switch,,http://ufcstats.com/fighter-details/59851163aaf1aed8
Roy Boughton,"6' 0""",205 lbs.,,,,http://ufcstats.com/fighter-details/2aaf0181432adf0b
Rich Bouphanouvong,"5' 7""",170 lbs.,,,,http://ufcstats.com/fighter-details/611b9c068c9e2c44
Mike Bourke,"6' 0""",275 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/dfdd0c5dd0d4bc23
Jess Bouscal,,155 lbs.,,,,http://ufcstats.com/fighter-details/38b1417ec17072da
Tai Bowden,"5' 11""",230 lbs.,,,,http://ufcstats.com/fighter-details/2efbc83a6b9b7f86
Melton Bowen,"6' 0""",225 lbs.,,Orthodox,"Jul 16, 1969",http://ufcstats.com/fighter-details/81ca2c245b19b3c5
Blake Bowman,"6' 2""",170 lbs.,,,,http://ufcstats.com/fighter-details/a95a0504fd73bd3e
Ashe Bowman,"5' 9""",155 lbs.,,,"Nov 17, 1976",http://ufcstats.com/fighter-details/8a0a35e7c74bebcc
Anvar Boynazarov,"5' 9""",145 lbs.,,Orthodox,"Jan 10, 1989",http://ufcstats.com/fighter-details/4a191f4ea2fce7fc
ColleyBradford,"5' 7""",145 lbs.,,,,http://ufcstats.com/fighter-details/1433786ac76cf777
Paul Bradley,"5' 9""",170 lbs.,,Orthodox,"Jun 13, 1983",http://ufcstats.com/fighter-details/c7011de4765d2497
Ebenezer Fontes Braga,"6' 0""",199 lbs.,,Orthodox,"Apr 14, 1969",http://ufcstats.com/fighter-details/dc950d59dc590aca
Joe Brammer,"5' 8""",155 lbs.,,Orthodox,"Aug 23, 1983",http://ufcstats.com/fighter-details/013da757877044a2
Michael Bravo,,155 lbs.,,,,http://ufcstats.com/fighter-details/dc63542668295c23
Roman Bravo-Young,,205 lbs.,,,,http://ufcstats.com/fighter-details/37ce890a4670b287
Chris Brennan,"5' 8""",170 lbs.,,Orthodox,"Oct 12, 1971",http://ufcstats.com/fighter-details/b19fc66613dc75b9
Robert Breslin,"5' 11""",155 lbs.,,,,http://ufcstats.com/fighter-details/e319d6697d41f3cf
Mack Brewer,,205 lbs.,,,,http://ufcstats.com/fighter-details/106a925d947a0de9
Aaron Brink,"6' 3""",205 lbs.,,Orthodox,"Nov 12, 1974",http://ufcstats.com/fighter-details/cf1a88371c8cb690
Marcelo Brito,"6' 1""",170 lbs.,,Orthodox,"Nov 27, 1977",http://ufcstats.com/fighter-details/3a97fda0de6f1fa4
Icaro Brito,,145 lbs.,,,"Mar 09, 1999",http://ufcstats.com/fighter-details/06dd61c8d545c63f
Antwain Britt,"6' 1""",205 lbs.,"77""",,"May 09, 1978",http://ufcstats.com/fighter-details/2833f50b20e96e52
Drew Brokenshire,,,,,,http://ufcstats.com/fighter-details/aa571d75f80fde7d
Mike Bronzoulis,"6' 0""",155 lbs.,,,"Jan 05, 1979",http://ufcstats.com/fighter-details/df3c39573d01f55b
Lee Brousseau,"6' 1""",205 lbs.,,,"Oct 04, 1974",http://ufcstats.com/fighter-details/0974d8d4053a7237
Dominic Brown,"5' 11""",190 lbs.,,,"Jun 04, 1982",http://ufcstats.com/fighter-details/52b3ec072ad497a4
Todd Brown,"5' 11""",205 lbs.,,Orthodox,"Dec 13, 1976",http://ufcstats.com/fighter-details/9b68bf67c5695185
Terrell Brown,,185 lbs.,,,"Apr 13, 1983",http://ufcstats.com/fighter-details/85df85a4e276c90e
Chris Brown,,170 lbs.,,,,http://ufcstats.com/fighter-details/9e2624ac992660c6
Frederick Brown,"6' 0""",235 lbs.,,,,http://ufcstats.com/fighter-details/880c6b788266a3ef
Humberto Brown Morrison,"5' 10""",145 lbs.,,,"Nov 03, 1984",http://ufcstats.com/fighter-details/e9e7e1c8ff289e1b
Junie Browning,"5' 9""",155 lbs.,,Orthodox,"May 12, 1984",http://ufcstats.com/fighter-details/d74cba8566291bfa
Jules Bruchez,"6' 0""",205 lbs.,,Southpaw,"Aug 16, 1977",http://ufcstats.com/fighter-details/d1dcd4e96464a53d
Justin Bruckmann,"5' 9""",170 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/5f8e00c27b7e7410
Steve Bruno,"5' 10""",170 lbs.,,Orthodox,"Nov 03, 1981",http://ufcstats.com/fighter-details/2f3f12002564bb55
Fernando Bruno,"5' 6""",145 lbs.,,,"Feb 24, 1982",http://ufcstats.com/fighter-details/b8c0f30ee9a98b69
Josh Bryant,"5' 10""",185 lbs.,,Orthodox,"Apr 23, 1980",http://ufcstats.com/fighter-details/01f022fa494188e2
Dennis Bryant,"6' 0""",205 lbs.,,Orthodox,"Oct 18, 1985",http://ufcstats.com/fighter-details/3b17353b8002c7d0
Zak Bucia,"5' 10""",170 lbs.,,,,http://ufcstats.com/fighter-details/6bbb8dc6e128779e
Courtney Buck,"5' 10""",135 lbs.,,Orthodox,"Mar 19, 1982",http://ufcstats.com/fighter-details/3feed7d02711d8b7
Julia Budd,"5' 7""",145 lbs.,"67""",,"Jul 04, 1983",http://ufcstats.com/fighter-details/dcdc4503b9d49977
Francisco Bueno,"5' 9""",225 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/a72d260b436924c4
Lee Kwan Bum,"6' 2""",286 lbs.,,Orthodox,,http://ufcstats.com/fighter-details/c0342805a1948cbb
Josh Bumgarner,"6' 1""",170 lbs.,,,,http://ufcstats.com/fighter-details/9900ab86a4c458bd
Shawn Bunch,"5' 5""",135 lbs.,,,"Mar 19, 1983",http://ufcstats.com/fighter-details/6e9af164ab91a229
Mikey Burnett,"5' 6""",170 lbs.,,Orthodox,"Apr 12, 1974",http://ufcstats.com/fighter-details/4c805f5f58a75df0
Josh Burns,"6' 1""",244 lbs.,,,"May 15, 1978",http://ufcstats.com/fighter-details/1e092415a7eeaf65
Derrick Burnsed,,155 lbs.,,,,http://ufcstats.com/fighter-details/2213330f082f82d5
Nah-Shon Burrell,"5' 11""",170 lbs.,,Orthodox,"Feb 05, 1990",http://ufcstats.com/fighter-details/2c64c035485906aa
Martin Buschkamp,"5' 9""",145 lbs.,,Orthodox,"Jan 06, 1991",http://ufcstats.com/fighter-details/8fc30d8cebb17116
George Bush,"6' 1""",205 lbs.,,,,http://ufcstats.com/fighter-details/f0c779dc2ca3816c
Bubba Bush,"6' 0""",185 lbs.,,Orthodox,"Jul 24, 1985",http://ufcstats.com/fighter-details/132505067f08c54d
Murilo Bustamante,"6' 2""",183 lbs.,,Orthodox,"Jul 30, 1966",http://ufcstats.com/fighter-details/85d905f7c4f5a1af
Nick Bustamante,"5' 9""",170 lbs.,,,,http://ufcstats.com/fighter-details/51b1ca2a4b064101
Eduardo Bustillos,"5' 8""",135 lbs.,,,"Jun 02, 1987",http://ufcstats.com/fighter-details/f273f1b8df04c8a1
Jason Butcher,"6' 3""",185 lbs.,,,"Oct 23, 1984",http://ufcstats.com/fighter-details/30e39145fec48d25
Todd Butler,"6' 1""",200 lbs.,,Southpaw,,http://ufcstats.com/fighter-details/3fed746acfd026dd
Goldman Butler,,,,,,http://ufcstats.com/fighter-details/e2d5072048b825b1
Ian Butler,"5' 8""",155 lbs.,,,,http://ufcstats.com/fighter-details/6b8fd98eb52363d1
Raphael Butler,"6' 3""",261 lbs.,,,"Jan 04, 1984",http://ufcstats.com/fighter-details/f941505e35fb1eae
